Designator,Footprint,Comment,Manufacturer Part Number,Manufacturer,Quantity,LCSC
DC1,AUDIO-TH_KLDVX-0202-B,,KLDVX-0202-B,Kycon,1,C19842585
DC2,DC-IN-TH_PJ-002BH,,PJ-002BH,CUI,1,C22359705
H1 H2 H3 H4,HDR-TH_10P-P2.54-V-M-R2-C5-S2.54_2,,PZ2.54-2X5P-H25,JXTCONN(聚兴泰),4,C42431818
